Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
73,Computer & Information Science,Bachelors,"$63,600","$119,500",55%

74,Geophysics,Bachelors,"$58,000","$119,000",47%

75,Accounting & Economics,Bachelors,"$65,900","$118,900",44%

76,Physician Assistant Studies,Bachelors,"$95,900","$118,500",84%

77,Mining Engineering,Bachelors,"$78,800","$118,300",64%

78,Construction Engineering Management,Bachelors,"$68,800","$118,200",57%

79,Mechanical Engineering (ME),Bachelors,"$71,000","$117,600",50%

80,Materials Science & Engineering,Bachelors,"$72,700","$117,500",47%

81,Engineering Mechanics,Bachelors,"$75,500","$117,400",-

81,Industrial Engineering (IE),Bachelors,"$71,900","$117,400",44%

81,International Business & Finance,Bachelors,"$61,400","$117,400",31%

84,Accounting & Computer Systems,Bachelors,"$63,000","$117,300",37%

85,Business & Information Technology (IT),Bachelors,"$60,100","$116,900",44%

86,Applied Physics,Bachelors,"$67,300","$116,500",52%

87,International Economics,Bachelors,"$58,700","$116,300",48%

88,Business & Economics,Bachelors,"$59,600","$116,200",46%

89,Ceramic Engineering,Bachelors,"$69,200","$115,700",-

89,Economics,Bachelors,"$62,000","$115,700",41%

89,Pharmaceutical Sciences (PS),Bachelors,"$52,800","$115,700",69%

92,Telecommunications Engineering,Bachelors,"$66,400","$115,400",47%

93,Information & Decision Sciences,Bachelors,"$65,200","$115,200",33%

93,Materials Engineering,Bachelors,"$72,300","$115,200",58%

93,Paper Science,Bachelors,"$77,000","$115,200",39%

96,Asian Studies,Bachelors,"$47,700","$115,100",41%

96,Structural Engineering (SE),Bachelors,"$67,800","$115,100",66%

98,Industrial Distribution,Bachelors,"$63,600","$115,000",48%

99,Management Information Systems (MIS),Bachelors,"$65,000","$114,100",42%

100,Electronics Engineering,Bachelors,"$69,600","$113,900",66%

